2013-11	міністр соціальної політики Королевська Наталія Юріївна
2013-11	міністр України Бойко Юрій
2013-11	міністр України Вілкул Олександр
2013-11	міністр України Грищенко Костянтин
2013-11	міністр України Микола Янович
2013-11	міністр фінансів Колобов Юрій Володимирович
2013-11	міністр фінансів України Колобов Юрій
2013-11	міністр фінансів Юрій Володимирович Колобов
2013-11	міністр юстиції Лукаш Олена Леонідівна
2013-12	міністра внутрішніх справ України Віталія Захарченка
2013-12	міністра України, голови Комітету Верховної Ради
2013-12	міністра України Миколу Яновича
2013-12	міністра України Юрія Бойка
2013-12	міністра фінансів України Анатолію Івановичу
2013-12	міністрації Президента Віктора Януковича
2013-12	міністрів Автономної Республіки Крим
2013-12	міністр України Микола Азаров
2013-12	міністру України Миколі Яновичу
2014-02	Міністерства оборони України, Збройних Сил України
2014-02	міністра; Бойка Юрія Анатолійовича
2014-02	міністра внутрішніх справ – Аваков Арсен Борисович
2014-02	міністра закордонних справ Андрія Богдановича Дещицю
2014-02	міністра культури Новохатька Леоніда Михайловича
2014-02	міністра культури України; Сафіулліна Равіля Сафовича
2014-02	міністра охорони здоров'я України Богатирьової Р
2014-02	міністр Арсеній Петрович Яценюк
2014-02	міністра соціальної політики Денісову Людмилу Леонтіївну
2014-02	міністра України Арсенію Петровичу
2014-02	міністра України Арсенія Яценюка
2014-02	міністра України; Вілкова Олександра Юрійовича
2014-02	міністра України; Грищенка Костянтина Івановича
2014-02	міністра України кандидатуру Арсенія Петровича Яценюка
2014-02	міністра України; Присяжнюка Миколу Володимировича
2014-02	міністра фінансів; Лукаш Олену Леонідівну
2014-02	міністра фінансів України Олександра Шлапака
2014-02	міністрації Президента, Кабінету Міністрів України
2014-02	міністрації Президента Сергія Ларіна
2014-02	міністрації Президента України Андрій
2014-02	міністрації Президента України, Верховна Рада України
2014-02	міністра юстиції України; Королевську Наталію Юріївну
2014-02	міністрів Автономної Республіки Крим
2014-02	Міністрів Автономної Республіки Крим
2014-02	Міністрів України звільнити Арбузова Сергія Геннадійовича
2014-02	Міністр Кабінету Міністрів України
2014-02	Міністр молоді та спорту – Булатов Дмитро Сергійович
2014-02	міністром закордонних справ України Андрія Дещицю
2014-02	міністр Сергій Геннадійович Арбузов
2014-02	міністр України Микола Азаров
2014-02	міністр України Ярема Віталій
2014-02	міністру України Арсенію Петровичу
2014-03	Міністерства культури України Андрія Вінграновського
2014-03	Міністерство оборони та Кабінет Міністрів України
2014-03	Міністерству оборони України, Кабінету Міністрів України
2014-03	міністра оборони Ігорю Йосиповичу Тенюху
2014-03	міністра оборони Ігоря Йосиповича Тенюха
2014-03	міністра оборони Михайла Володимировича Коваля
2014-03	міністративного суду України - Харченка Василя Васильовича
2014-03	міністративного суду - Усенка Василя Григоровича
2014-03	міністра України Арсенія Петровича
2014-03	міністра України Арсенія Яценюка
2014-03	міністра України Олександра Сича
2014-03	міністра України щодо Постанови Кабінету Міністрів
2014-03	міністра юстиції Петренка Павла Дмитровича
2014-03	міністри України Арсеній Яценюк
2014-03	Міністрів Автономної Республіки Крим
2014-03	міністром Російської Федерації Медведєвим
