checkIDs	PersonID	OrgID	EventID	From	To	Role	Acting	RoleName_en	RoleName_uk
 	ВіталійГригоровичЯрема.1963	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2019-06-24	deputyHead		First Vice Prime Minister	Перший віце-прем'єр-міністр України
 	ВіталійГригоровичЯрема.1963	pp.BUT		2012-10-28	2014-02-27	nominated			
 	ОлександрМаксимовичСич.1964	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	ОлександрМаксимовичСич.1964	pp.Sv		2012-10-28		member			
 	ВолодимирБорисовичГройсман.1978	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	ВолодимирБорисовичГройсман.1978	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	minister		Minister of Regional Development, Construction and Communal Living	Міністр регіонального розвитку, будівництва та житлово-комунального господарства України
 	ВолодимирБорисовичГройсман.1978	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	head		Prime Minister of Ukraine	Прем'єр-міністр України
 ERR:org	ВолодимирБорисовичГройсман.1978	pp.independent		2014-02-27					
 	ВолодимирБорисовичГройсман.1978	pp.BPP		2014-10-26	2016-04-14	nominated			
 	ВолодимирБорисовичГройсман.1978	pp.USH		2015-01-14	present	head			
 	ПавлоДмитровичПетренко.1979	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	minister		Minister of Justice	Міністр юстиції України
 	ПавлоДмитровичПетренко.1979	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Justice	Міністр юстиції України
 	ПавлоДмитровичПетренко.1979	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Justice	Міністр юстиції України
 	ПавлоДмитровичПетренко.1979	pp.BUT		2012-10-28		nominated			
 	ПавлоДмитровичПетренко.1979	pp.NF		2014-10-26		member			
 	ПавлоДмитровичПетренко.1979	pp.USH		2019		nominated			
 	ДмитроСергійовичБулатов.1978	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Youth and Sports 	Міністр молоді та спорту України
 ERR:org	ДмитроСергійовичБулатов.1978	pp.independent							
 	ЄвгенМиколайовичНищук.1972	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Culture	Міністр культури України
 	ЄвгенМиколайовичНищук.1972	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Culture	Міністр культури України
 ERR:org	ЄвгенМиколайовичНищук.1972	pp.BPP;pp.ES		2016		nominated			
 	ЄвгенМиколайовичНищук.1972	pp.USH		2019		member			
 	СергійМироновичКвіт.1965	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	minister		Minister of Education and Science	Міністр освіти і науки України
 	СергійМироновичКвіт.1965	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Education and Science 	Міністр освіти і науки України
 ERR:org	СергійМироновичКвіт.1965	pp.independent		2014					
 ERR:org	СергійМироновичКвіт.1965	pp.BPP;pp.ES		2014-12-02		member			
 	ПавлоМихайловичШеремета.1971	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-09-02	minister		Minister of Economical Development and Trade	Міністр економічного розвитку і торгівлі України
 ERR:org	ПавлоМихайловичШеремета.1971	pp.independent							
 	АнатолійАркадійовичМаксюта.1963	GOV.UA	GOV.UA.1stYatseniuk	2014-09-03		minister	1	Minister of Economical Development and Trade	Міністр економічного розвитку і торгівлі України (в.о.)
 ERR:org	АнатолійАркадійовичМаксюта.1963	pp.independent							
 	ВалерійТезійовичПятницький.1962	GOV.UA	GOV.UA.1stYatseniuk			minister	1	Minister of Economical Development and Trade	Міністр економічного розвитку і торгівлі України (в.о.)
 ERR:org	ВалерійТезійовичПятницький.1962	pp.independent							
 	ОлегСтепановичМусій.1965	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Healthcare	Міністр охорони здоров'я України
 ERR:org	ОлегСтепановичМусій.1965	pp.independent							
 	ЛюдмилаЛеонтіївнаДенісова.1960	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Social Policy	Міністр соціальної політики України
 	ЛюдмилаЛеонтіївнаДенісова.1960	pp.BUT		2012-10-28	2014	member			
 	ЛюдмилаЛеонтіївнаДенісова.1960	pp.NF		2014-10-26		member			
 	АндрійВолодимировичМохник.1972	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Ecology and Natural Resources	Міністр екології та природних ресурсів України
 	АндрійВолодимировичМохник.1972	pp.Sv		2012-10-28		member			
 	АндрійБогдановичДещиця.1965	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-06-19	minister	1	Minister of Foreign Affairs	Міністр закордонних справ України (в.о.)
 ERR:org	АндрійБогдановичДещиця.1965	pp.independent							
 	ПавлоАнатолійовичКлімкін.1967	GOV.UA	GOV.UA.1stYatseniuk	2014-06-19		minister		Minister of Foreign Affairs	Міністр закордонних справ України
 ERR:org	ПавлоАнатолійовичКлімкін.1967	pp.independent							
 	ІгорОлександровичШвайка.1976	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Agrarian Policy and Food	Міністр аграрної політики та продовольства України
 	ІгорОлександровичШвайка.1976	pp.Sv		2012-10-28		member			
