utterance	note	who	sentence
ParlaMint-UA_2014-02-06-m0.u15	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	[Олег](ParlaMint-UA_2014-02-06-m0.u14.p1.s3.w1) [Ляшко](ParlaMint-UA_2014-02-06-m0.u14.p1.s3.w2). 
ParlaMint-UA_2014-02-20-m0.u3	КЛИЧКО В.В.	#ВіталійВолодимировичКличко.1971	Будь ласка, [Віталій](ParlaMint-UA_2014-02-20-m0.u2.p15.s1.w4) [Володимирович](ParlaMint-UA_2014-02-20-m0.u2.p15.s1.w5) [Кличко](ParlaMint-UA_2014-02-20-m0.u2.p15.s1.w6). 
ParlaMint-UA_2014-02-20-m0.u3	КЛИЧКО В.В.	#ВіталійВолодимировичКличко.1971	Будь ласка, [Віталій](ParlaMint-UA_2014-02-20-m0.u2.p15.s1.w4) [Володимирович](ParlaMint-UA_2014-02-20-m0.u2.p15.s1.w5) [Кличко](ParlaMint-UA_2014-02-20-m0.u2.p15.s1.w6). 
ParlaMint-UA_2014-02-20-m0.u5	ТЯГНИБОК О.Я.	#ОлегЯрославовичТягнибок.1968	Голова фракції Всеукраїнського об'єднання "Свобода" [Олег](ParlaMint-UA_2014-02-20-m0.u4.p1.s2.w8) [Тягнибок](ParlaMint-UA_2014-02-20-m0.u4.p1.s2.w9). 
ParlaMint-UA_2014-02-20-m0.u7	ЯЦЕНЮК А.П.	#АрсенійПетровичЯценюк.1974	Прошу до слова керівника фракції Всеукраїнського об'єднання "Батьківщина" [Яценюка](ParlaMint-UA_2014-02-20-m0.u6.p1.s2.w11). 
ParlaMint-UA_2014-02-20-m0.u9	РУДЬКОВСЬКИЙ М.М.	#МиколаМиколайовичРудьковський.1967	Будь ласка, [Рудьковський](ParlaMint-UA_2014-02-20-m0.u8.p4.s1.w4), прошу. 
ParlaMint-UA_2014-02-20-m0.u11	ЛИТВИН В.М.	#ВолодимирМихайловичЛитвин.1956	Прошу до слова, [Володимир](ParlaMint-UA_2014-02-20-m0.u10.p2.s1.w5) [Михайлович](ParlaMint-UA_2014-02-20-m0.u10.p2.s1.w6) [Литвин](ParlaMint-UA_2014-02-20-m0.u10.p2.s1.w7). 
ParlaMint-UA_2014-02-20-m0.u13	ГРУШЕВСЬКИЙ В.А.	#ВіталійАнатолійовичГрушевський.1971	Отож, я запрошую до слова народного депутата [Віталія](ParlaMint-UA_2014-02-20-m0.u12.p3.s1.w9) [Грушевського](ParlaMint-UA_2014-02-20-m0.u12.p3.s1.w10). 
ParlaMint-UA_2014-02-20-m0.u19	ПОРОШЕНКО П.О.	#ПетроОлексійовичПорошенко.1965	Прошу до слова [Петра](ParlaMint-UA_2014-02-20-m0.u18.p1.s2.w4) [Порошенка](ParlaMint-UA_2014-02-20-m0.u18.p1.s2.w5). 
ParlaMint-UA_2014-02-20-m0.u25	ІЛЛЄНКО А.Ю.	#АндрійЮрійовичІллєнко.1987	Прошу до слова народного депутата [Андрія](ParlaMint-UA_2014-02-20-m0.u24.p1.s2.w6) [Іллєнка](ParlaMint-UA_2014-02-20-m0.u24.p1.s2.w7). 
ParlaMint-UA_2014-02-20-m0.u25	ІЛЛЄНКО А.Ю.	#АндрійЮрійовичІллєнко.1987	[Андрій](ParlaMint-UA_2014-02-20-m0.u24.p1.s3.w1) [Іллєнко](ParlaMint-UA_2014-02-20-m0.u24.p1.s3.w2), будь ласка. 
ParlaMint-UA_2014-02-20-m0.u27	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	[Геращенко](ParlaMint-UA_2014-02-20-m0.u26.p4.s1.w1), прошу, від жіноцтва дуже просила. 
ParlaMint-UA_2014-02-20-m0.u27	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	Ви після [Геращенко](ParlaMint-UA_2014-02-20-m0.u26.p5.s1.w3), якщо можна. 
ParlaMint-UA_2014-02-20-m0.u35	ТУРЧИНОВ О.В.	#ОлександрВалентиновичТурчинов.1964	Прошу до слова [Олександра](ParlaMint-UA_2014-02-20-m0.u34.p1.s2.w4) [Турчинова](ParlaMint-UA_2014-02-20-m0.u34.p1.s2.w5). 
ParlaMint-UA_2014-02-20-m0.u37	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	Народний депутат [Олег](ParlaMint-UA_2014-02-20-m0.u36.p1.s2.w3) [Ляшко](ParlaMint-UA_2014-02-20-m0.u36.p1.s2.w4), будь ласка. 
ParlaMint-UA_2014-02-20-m0.u43	БЕЗБАХ Я.Я.	#ЯківЯковичБезбах.1957	Прошу до слова народного депутата [Безбаха](ParlaMint-UA_2014-02-20-m0.u42.p2.s1.w6). 
ParlaMint-UA_2014-02-20-m0.u45	ГРИЦЕНКО А.С.	#АнатолійСтепановичГриценко.1957	Прошу до слова народного депутата [Гриценка](ParlaMint-UA_2014-02-20-m0.u44.p3.s1.w6). 
ParlaMint-UA_2014-02-20-m0.u47	ДОНІЙ О.С.	#ОлександрСергійовичДоній.1969	Прошу до слова народного депутата [Донія](ParlaMint-UA_2014-02-20-m0.u46.p1.s2.w6). 
ParlaMint-UA_2014-02-20-m0.u49	КИРИЛЕНКО В.А.	#В’ячеславАнатолійовичКириленко.1968	Прошу до слова [В’ячеслава](ParlaMint-UA_2014-02-20-m0.u48.p1.s2.w4) [Кириленка](ParlaMint-UA_2014-02-20-m0.u48.p1.s2.w5). 
ParlaMint-UA_2014-02-20-m0.u53	СМІТЮХ Г.Є.	#ГригорійЄвдокимовичСмітюх.1961	Прошу до слова народного депутата [Смітюха](ParlaMint-UA_2014-02-20-m0.u52.p2.s1.w6). 
ParlaMint-UA_2014-02-20-m0.u55	ЗАРУБІНСЬКИЙ О.О.	#ОлегОлександровичЗарубінський.1963	Прошу до слова народного депутата [Зарубінського](ParlaMint-UA_2014-02-20-m0.u54.p1.s2.w6). 
ParlaMint-UA_2014-02-20-m0.u57	КУБІВ С.І.	#СтепанІвановичКубів.1962	Зараз до слова запрошується [Кубів](ParlaMint-UA_2014-02-20-m0.u56.p3.s1.w5) [Степан](ParlaMint-UA_2014-02-20-m0.u56.p3.s1.w6) [Іванович](ParlaMint-UA_2014-02-20-m0.u56.p3.s1.w7). 
